"year" "min_6" "min_12" "min_18" "min_24" "min_30" "hr_1" "hr_2" "hr_3" "hr_6" "hr_8" "hr_12" "hr_24" "hr_48" "hr_72" "hr_120" "hr_168"
1957 5.668 11.336 12.401 14.467 15.254 19.599 21.147 22.61 25.682 26.176 30.2 44.896 44.976 44.976 48.384 56.641
1958 5.501 8.628 9.229 11.188 12.119 14.087 15.513 16.577 18.177 18.541 18.849 23.659 31.19 40.203 49.667 52.3050000000001
1959 5.527 7.568 8.847 9.468 11.14 22.249 27.948 31.902 37.272 37.83 39.205 46.064 51.046 57.665 64.34 64.933
1960 6.155 8.782 11.161 13.156 15.043 16.789 24.196 24.921 33.509 36.642 37.893 49.241 91.0609999999999 101.917 103.123 106.909
1961 4.246 6.605 8.586 9.445 9.628 11.628 15.165 20.431 31.695 34.893 38.537 39.806 41.2690000000001 41.9080000000001 44.918 49.923
1962 4.366 6.791 7.963 8.514 9.336 12.244 19.144 23.91 33.947 37.701 38.581 38.862 38.862 40.506 60.8120000000001 64.3680000000001
1963 3.583 6.5 7.529 8.66 10.65 15.912 23.282 27.447 36.992 38.295 41.418 42.542 43.238 51.434 55.108 60.45
1964 3.418 6.269 8.804 9.902 10.464 13.216 13.783 15.109 25.664 30.769 36.141 45.228 60.2 61.408 65.312 81.6030000000001
1965 2.929 5.391 5.593 5.598 5.675 8.273 12.283 17.765 25.48 28.862 33.229 48.036 55.628 57.313 58.673 76.362
1966 6.363 8.309 8.668 11.124 13.905 26.998 34.08 38.14 47.207 50.937 56.651 60.2 72.138 72.138 72.138 72.138
1967 2.655 5.144 6.336 6.812 7.199 8.335 9.423 10.737 13.255 14.143 15.463 16.167 18.498 24.633 29.717 33.052
1968 7.744 15.488 23.232 30.976 38.72 61.563 65.987 83.354 83.401 83.401 83.484 83.566 85.189 92.7070000000001 99.8140000000001 106.575
1969 4.121 8.242 12.363 15.396 17.445 22.097 22.631 23.015 23.368 23.47 32.762 41.103 41.117 51.771 77.685 84.253
1970 3.054 6.108 9.162 12.216 15.27 23.823 36.585 41.85 56.988 64.821 78.346 89.783 96.9760000000001 104.937 107.786 108.452
1971 3.683 5.504 6.818 8.682 9.473 13.058 20.203 22.601 26.14 28.345 31.749 36.07 45.086 47.498 59.6910000000001 73.898
1972 4.36 8.454 11.012 12.049 12.878 13.621 16.502 17.877 30.564 32.403 36.424 54.956 64.77 66.143 71.592 77.218
1973 7.981 12.79 14.861 15.94 16.319 27.121 35.684 45.922 65.988 83.86 115.86 139.187 184.912 187.705 187.705 211.582
1974 1.521 2.777 3.899 4.431 4.961 7.783 11.611 15.754 22.789 24.197 24.197 27.105 28.599 28.599 28.599 35.303
1975 4.641 8.639 12.159 15.004 18.582 28.791 41.566 44.285 44.285 46.003 46.003 46.118 54.581 55.003 63.299 84.503
1976 7.522 12.964 16.697 19.803 22.339 31.852 43.684 44.2 44.2 44.2 44.2 46.119 62.896 67.9 76.945 81.506
1977 5.964 10.609 15.5 19.105 20.749 28.27 34.125 36.573 44.06 46.263 47.297 47.988 53.942 61.106 62.999 62.999
1978 6.648 10.89 13.257 13.938 14.882 16.822 21.483 24.87 40.585 46.448 55.65 68.197 68.197 68.197 68.197 68.197
1979 3.683 7.164 9.231 10.885 12.721 19.681 25.85 27.473 30.7 38.417 56.645 56.873 56.873 56.873 82.67 82.67
1980 3.528 5.556 6.231 7.674 9.063 13.705 20.12 23.598 26.925 27.506 35.642 45.3890000000001 50.5980000000001 50.5980000000001 51.598 56.8979999999999
1981 8.607 11.972 15.048 18.413 20.036 22.215 22.215 22.215 22.663 29.415 36.635 39.883 39.883 47.818 47.818 62.284
1982 4 4.8 5.486 6.171 6.514 9.074 12.682 15.498 18.497 24.002 24.417 35.204 35.204 35.204 35.204 35.204
1983 5.845 10.02 12.925 15.195 16.492 23.912 27.613 28.825 29.106 29.106 33.117 36.5720000000001 44.3390000000001 44.3970000000001 57.9880000000001 58.112
1984 5.778 8.49 9.859 10.708 12.264 16.578 19.158 19.655 34.836 39.51 39.905 41.303 48.5909999999999 54.6939999999999 57.1949999999999 57.1949999999999
1985 5.489 10.764 15.768 19.872 21.218 25.031 26.329 26.329 30.334 30.334 30.733 31.394 45.9179999999999 55.757 75.304 75.704
1986 4.208 5.033 5.695 6.802 7.499 9.535 12.078 13.268 19.281 22.725 27.909 35.173 41.104 49.1999999999999 49.1999999999999 63.9739999999999
1987 5.789 7.119 8.63 9.01 9.86 13.053 18.734 19.2 30.906 40.294 42.856 42.903 56.4289999999999 68.6249999999998 68.6249999999998 68.6249999999998
1988 7.3 11.912 17.289 22.472 25.17 37.718 41.26 49.541 62.591 67.185 67.5850000000001 67.967 74.89 74.89 74.89 83.492
1989 9.861 14.616 15.251 17.936 21.409 42.277 66.085 70.677 82.568 86.497 99.166 106.794 106.794 106.794 112.326 124.566
1990 4.634 6.02 7.307 7.707 8.015 12.003 16.103 20.982 35.972 37.789 46.308 49.797 49.797 67.603 77.002 77.002
1991 11.42 17.164 25.673 27.98 30.98 40.175 45.878 46.4 46.4 46.4 46.4 48.511 61.298 71.195 90.703 94.199
1992 8.705 11.585 11.956 12.771 13.463 15.12 16.077 16.662 21.935 29.225 29.413 46.4 46.4 46.4 56.297 64.2049999999998
1993 7.664 9.577 13.883 18.915 21.604 28.194 33.854 35.833 38.605 38.901 42.63 43.201 43.201 70.998 70.998 77.798
1994 2.27 3.559 4.616 5.752 6.723 10.687 18.963 23.466 27.584 30.649 38.411 42.681 46 51.605 51.605 52.805
1995 5.009 7.793 10.362 12.452 14.369 15.124 21.337 21.509 26.221 32.494 33.403 42.088 42.976 42.976 50.3470000000002 50.9740000000002
1996 2.4 3.4 4.2 4.6 5.4 7.2 11.6 13.6 16.902 17.004 17.21 22.2 41.622 41.622 42.223 42.223
